2025/07/04 14:42:02 2025-07-04T14:42:02+02:00 | Observer:1 | Target:1 | Vec:[0.003625751091570391 -0.012008695110624459 -0.00019517324512018826 0.005180587071099982 0.0017585284877883473] | Err:0.36043 | Adj:0.00627 | Ht:0.00041
2025/07/04 14:42:12 2025-07-04T14:42:12+02:00 | Observer:1 | Target:1 | Vec:[0.003429258555879404 -0.011358942168740262 -0.00022918390289923353 0.004946725018345559 0.0016831586771623175] | Err:0.37849 | Adj:0.00629 | Ht:0.00039
2025/07/04 14:42:22 2025-07-04T14:42:22+02:00 | Observer:1 | Target:1 | Vec:[0.0032884964804836274 -0.011134571083369748 -0.00020232825250996448 0.004862540257359617 0.001714801598082418] | Err:0.36449 | Adj:0.00639 | Ht:0.00038
2025/07/04 14:43:23 2025-07-04T14:43:23+02:00 | Observer:1 | Target:1 | Vec:[0.0030565097160296165 -0.011325823970351834 -0.0013605314664474275 0.004487811655256685 0.0010239303011203868] | Err:0.30560 | Adj:0.00707 | Ht:0.00049
2025/07/04 14:43:33 2025-07-04T14:43:33+02:00 | Observer:1 | Target:1 | Vec:[0.0030565097160296165 -0.011325823970351834 -0.0013605314664474275 0.004487811655256685 0.0010239303011203868] | Err:0.30560 | Adj:0.00707 | Ht:0.00049
2025/07/04 14:43:43 2025-07-04T14:43:43+02:00 | Observer:1 | Target:1 | Vec:[0.0031525808203090207 -0.0116038171176754 -0.0011171687176465832 0.00497049886604318 0.0010386309215020728] | Err:0.29586 | Adj:0.00698 | Ht:0.00052
2025/07/04 14:43:53 2025-07-04T14:43:53+02:00 | Observer:1 | Target:1 | Vec:[0.002526923062196976 -0.011152344257733893 -0.00018342329955247277 0.00544014013748928 0.0014829751960449297] | Err:0.29366 | Adj:0.00711 | Ht:0.00058
2025/07/04 14:44:03 2025-07-04T14:44:03+02:00 | Observer:1 | Target:1 | Vec:[0.002526923062196976 -0.011152344257733893 -0.00018342329955247277 0.00544014013748928 0.0014829751960449297] | Err:0.29366 | Adj:0.00711 | Ht:0.00058
2025/07/04 14:44:13 2025-07-04T14:44:13+02:00 | Observer:1 | Target:1 | Vec:[0.0025274249059606254 -0.010932500564261894 -9.11837682073577e-05 0.005294226577833921 0.0014524969358360542] | Err:0.28816 | Adj:0.00708 | Ht:0.00056
2025/07/04 14:44:23 2025-07-04T14:44:23+02:00 | Observer:1 | Target:1 | Vec:[0.002593820775028811 -0.01114307041630711 -0.00011428750688126863 0.005469098901396553 0.0013074579145648897] | Err:0.26449 | Adj:0.00695 | Ht:0.00057
2025/07/04 14:44:33 2025-07-04T14:44:33+02:00 | Observer:1 | Target:1 | Vec:[0.002593820775028811 -0.01114307041630711 -0.00011428750688126863 0.005469098901396553 0.0013074579145648897] | Err:0.26449 | Adj:0.00695 | Ht:0.00057
2025/07/04 14:44:43 2025-07-04T14:44:43+02:00 | Observer:1 | Target:1 | Vec:[0.0024426218471983547 -0.011423540349201664 2.158089632596905e-05 0.0063027776503849975 0.001004659081784061] | Err:0.27114 | Adj:0.00678 | Ht:0.00063
2025/07/04 14:44:53 2025-07-04T14:44:53+02:00 | Observer:1 | Target:1 | Vec:[0.002307957456617148 -0.0099533711977956 0.0004777346644402003 0.006474128978666983 0.0011277275997129163] | Err:0.55650 | Adj:0.00665 | Ht:0.00048
2025/07/04 14:45:03 2025-07-04T14:45:03+02:00 | Observer:1 | Target:1 | Vec:[0.002307957456617148 -0.0099533711977956 0.0004777346644402003 0.006474128978666983 0.0011277275997129163] | Err:0.55650 | Adj:0.00665 | Ht:0.00048
2025/07/04 14:45:13 2025-07-04T14:45:13+02:00 | Observer:1 | Target:1 | Vec:[0.0023405858505700463 -0.010182440490557835 0.0004824087287519984 0.006631804403816523 0.0011432727242756732] | Err:0.51059 | Adj:0.00661 | Ht:0.00050
2025/07/04 14:45:23 2025-07-04T14:45:23+02:00 | Observer:1 | Target:1 | Vec:[0.002373318767639329 -0.010285200381862572 0.00040177300619959045 0.006765904510519154 0.0011004472843044457] | Err:0.46882 | Adj:0.00682 | Ht:0.00051
2025/07/04 14:45:34 2025-07-04T14:45:34+02:00 | Observer:1 | Target:1 | Vec:[0.002373318767639329 -0.010285200381862572 0.00040177300619959045 0.006765904510519154 0.0011004472843044457] | Err:0.46882 | Adj:0.00682 | Ht:0.00051
