hilbert_order,q_node,threshold,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf130,5,0,11,0,11,0,0.0,0.0,0.0
2,clab-nebula-serf161,5,4,5,4,1,0,0.8,1.0,0.8
2,clab-nebula-serf32,5,3,18,3,15,0,0.1667,1.0,0.1667
2,clab-nebula-serf63,5,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf45,5,2,63,1,62,1,0.0159,0.5,0.0156
2,clab-nebula-serf49,5,4,63,3,60,1,0.0476,0.75,0.0469
2,clab-nebula-serf83,5,0,23,0,23,0,0.0,0.0,0.0
2,clab-nebula-serf91,5,3,23,3,20,0,0.1304,1.0,0.1304
2,clab-nebula-serf136,5,0,11,0,11,0,0.0,0.0,0.0
2,clab-nebula-serf146,5,0,3,0,3,0,0.0,0.0,0.0
2,clab-nebula-serf12,5,0,14,0,14,0,0.0,0.0,0.0
2,clab-nebula-serf19,5,0,14,0,14,0,0.0,0.0,0.0
2,clab-nebula-serf80,5,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf111,5,1,30,1,29,0,0.0333,1.0,0.0333
2,clab-nebula-serf109,5,3,30,3,27,0,0.1,1.0,0.1
2,clab-nebula-serf147,5,0,10,0,10,0,0.0,0.0,0.0
2,clab-nebula-serf4,5,1,68,1,67,0,0.0147,1.0,0.0147
2,clab-nebula-serf100,5,6,7,6,1,0,0.8571,1.0,0.8571
2,clab-nebula-serf75,5,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf89,5,3,31,3,28,0,0.0968,1.0,0.0968
2,clab-nebula-serf101,5,4,7,4,3,0,0.5714,1.0,0.5714
2,clab-nebula-serf105,5,1,30,1,29,0,0.0333,1.0,0.0333
2,clab-nebula-serf65,5,0,5,0,5,0,0.0,0.0,0.0
2,clab-nebula-serf68,5,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf94,5,2,23,2,21,0,0.087,1.0,0.087
2,clab-nebula-serf103,5,7,7,7,0,0,1.0,1.0,1.0
2,clab-nebula-serf117,5,0,0,0,0,0,1.0,1.0,1.0
2,clab-nebula-serf127,5,0,1,0,1,0,0.0,0.0,0.0
2,clab-nebula-serf129,5,0,30,0,30,0,0.0,0.0,0.0
2,clab-nebula-serf155,5,0,10,0,10,0,0.0,0.0,0.0
2,clab-nebula-serf3,5,0,0,0,0,0,1.0,1.0,1.0
2,clab-nebula-serf14,5,0,14,0,14,0,0.0,0.0,0.0
2,clab-nebula-serf142,5,0,0,0,0,0,1.0,1.0,1.0
