hilbert_order,threshold,gt,found,fp,fn,precision,recall,jaccard
2,5,0.9697,12.4545,11.6061,0.1212,0.0727,0.9545,0.209
2,10,5.2121,26.5152,22.3636,1.0606,0.1637,0.8507,0.2265
2,15,14.1818,41.7879,32.3333,4.7273,0.2189,0.7549,0.2383
2,20,30.3939,56.0909,36.7273,11.0303,0.3448,0.6768,0.3105
2,25,49.5455,59.8182,30.1515,19.8788,0.4747,0.6415,0.3898
2,30,68.7273,66.9697,26.2121,27.9697,0.5563,0.6233,0.4361
2,35,86.3333,68.4848,20.0909,37.9394,0.6621,0.5949,0.4422
2,40,98.6364,69.5758,16.7576,45.8182,0.7205,0.5533,0.4439
2,45,113.1515,77.697,15.2727,50.7273,0.7922,0.5566,0.4762
2,50,129.1515,81.3636,13.0,60.7879,0.8331,0.5259,0.4673
2,55,140.697,99.1818,12.0606,53.5758,0.8781,0.621,0.5641
2,60,149.6364,117.9091,9.5152,41.2424,0.9096,0.7221,0.6766
4,5,0.9697,8.7879,7.9091,0.0909,0.0735,0.9697,0.4675
4,10,5.2121,26.5758,22.1818,0.8182,0.1738,0.917,0.3453
4,15,14.1818,42.6667,31.8788,3.3939,0.2382,0.8261,0.2726
4,20,30.3939,56.0909,32.697,7.0,0.3992,0.7939,0.3796
4,25,49.5455,61.9394,24.1515,11.7576,0.5343,0.769,0.4958
4,30,68.7273,76.4545,22.4545,14.7273,0.6245,0.7799,0.5774
4,35,86.3333,79.303,16.4848,23.5152,0.735,0.7357,0.5964
4,40,98.6364,83.5455,13.4848,28.5758,0.792,0.7236,0.607
4,45,113.1515,97.697,16.7273,32.1818,0.8279,0.7192,0.616
4,50,129.1515,104.6061,16.9697,41.5152,0.8435,0.6933,0.5937
4,55,140.697,116.6364,14.8485,38.9091,0.875,0.7273,0.6493
4,60,149.6364,135.8788,10.2727,24.0303,0.9211,0.838,0.783
6,5,0.9697,8.4242,7.5455,0.0909,0.0654,0.9697,0.6715
6,10,5.2121,24.3333,20.1818,1.0606,0.1708,0.9079,0.4339
6,15,14.1818,37.697,27.7273,4.2121,0.2657,0.8167,0.3487
6,20,30.3939,54.1212,32.2727,8.5455,0.4041,0.7596,0.3722
6,25,49.5455,61.8485,26.7576,14.4545,0.5176,0.7421,0.4627
6,30,68.7273,79.697,26.9091,15.9394,0.606,0.777,0.5534
6,35,86.3333,82.8788,20.9394,24.3939,0.7076,0.7361,0.5692
6,40,98.6364,89.7576,17.4545,26.3333,0.7814,0.7588,0.6182
6,45,113.1515,101.7879,19.0303,30.3939,0.8143,0.7453,0.6208
6,50,129.1515,107.6364,18.7273,40.2424,0.8323,0.7055,0.5958
6,55,140.697,120.7879,15.5758,35.4848,0.8761,0.7555,0.6699
6,60,149.6364,140.8485,10.6364,19.4242,0.9224,0.8692,0.811
8,5,0.9697,8.3636,7.4848,0.0909,0.0655,0.9697,0.6716
8,10,5.2121,24.2121,20.0606,1.0606,0.1703,0.909,0.4345
8,15,14.1818,37.4242,27.3636,4.1212,0.2678,0.8242,0.3526
8,20,30.3939,54.3636,31.5758,7.6061,0.4157,0.7918,0.3872
8,25,49.5455,62.2424,28.2424,15.5455,0.5058,0.7365,0.4453
8,30,68.7273,79.8485,29.2121,18.0909,0.5838,0.7569,0.5204
8,35,86.3333,83.2121,21.2727,24.3939,0.7068,0.7454,0.569
8,40,98.6364,90.2727,17.6061,25.9697,0.782,0.7651,0.6227
8,45,113.1515,103.8182,19.5758,28.9091,0.8125,0.7565,0.6285
8,50,129.1515,109.697,18.9697,38.4242,0.833,0.7184,0.6066
8,55,140.697,122.9091,15.6667,33.4545,0.8775,0.7705,0.6826
8,60,149.6364,141.6667,10.6364,18.6061,0.9233,0.875,0.8161
10,5,0.9697,8.3333,7.4848,0.1212,0.063,0.9545,0.6688
10,10,5.2121,24.2424,20.0909,1.0606,0.1703,0.909,0.4344
10,15,14.1818,37.4242,27.3636,4.1212,0.2678,0.8242,0.3526
10,20,30.3939,54.4242,31.6364,7.6061,0.4154,0.7918,0.3869
10,25,49.5455,62.303,28.303,15.5455,0.5054,0.7365,0.4449
10,30,68.7273,79.8788,29.2424,18.0909,0.5835,0.7569,0.5202
10,35,86.3333,83.2121,21.2727,24.3939,0.7068,0.7454,0.569
