node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf1,5,0,0,0,0,0,0,0,2
clab-nebula-serf5,5,0,0,0,0,0,0,0,2
clab-nebula-serf10,5,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf15,5,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf20,5,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf25,5,0,0,0,0,0,0,0,2
clab-nebula-serf30,5,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf35,5,0,0,0,0,0,0,0,2
clab-nebula-serf40,5,0,0,0,0,0,0,0,2
clab-nebula-serf45,5,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf50,5,3,0,0,3,0,0.0,0.0,2
clab-nebula-serf55,5,0,0,0,0,0,0,0,2
clab-nebula-serf60,5,4,0,0,4,0,0.0,0.0,2
clab-nebula-serf65,5,0,0,0,0,0,0,0,2
clab-nebula-serf70,5,3,0,0,3,0,0.0,0.0,2
clab-nebula-serf75,5,0,0,0,0,0,0,0,2
clab-nebula-serf80,5,0,0,0,0,0,0,0,2
clab-nebula-serf85,5,0,0,0,0,0,0,0,2
clab-nebula-serf90,5,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf95,5,0,0,0,0,0,0,0,2
clab-nebula-serf100,5,6,0,0,6,0,0.0,0.0,2
clab-nebula-serf105,5,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf110,5,0,0,0,0,0,0,0,2
clab-nebula-serf115,5,0,0,0,0,0,0,0,2
clab-nebula-serf120,5,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf125,5,0,0,0,0,0,0,0,2
clab-nebula-serf130,5,0,0,0,0,0,0,0,2
clab-nebula-serf135,5,0,0,0,0,0,0,0,2
clab-nebula-serf140,5,0,0,0,0,0,0,0,2
clab-nebula-serf145,5,0,0,0,0,0,0,0,2
clab-nebula-serf150,5,0,0,0,0,0,0,0,2
clab-nebula-serf155,5,0,0,0,0,0,0,0,2
clab-nebula-serf160,5,4,0,0,4,0,0.0,0.0,2
clab-nebula-serf1,10,6,0,0,6,0,0.0,0.0,2
clab-nebula-serf5,10,3,0,0,3,0,0.0,0.0,2
clab-nebula-serf10,10,9,0,0,9,0,0.0,0.0,2
clab-nebula-serf15,10,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf20,10,4,0,0,4,0,0.0,0.0,2
clab-nebula-serf25,10,4,0,0,4,0,0.0,0.0,2
clab-nebula-serf30,10,13,0,0,13,0,0.0,0.0,2
clab-nebula-serf35,10,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf40,10,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf45,10,8,0,0,8,0,0.0,0.0,2
clab-nebula-serf50,10,8,0,0,8,0,0.0,0.0,2
clab-nebula-serf55,10,9,0,0,9,0,0.0,0.0,2
clab-nebula-serf60,10,10,0,0,10,0,0.0,0.0,2
clab-nebula-serf65,10,0,0,0,0,0,0,0,2
clab-nebula-serf70,10,19,0,0,19,0,0.0,0.0,2
clab-nebula-serf75,10,7,0,0,7,0,0.0,0.0,2
clab-nebula-serf80,10,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf85,10,4,0,0,4,0,0.0,0.0,2
clab-nebula-serf90,10,9,0,0,9,0,0.0,0.0,2
clab-nebula-serf95,10,10,0,0,10,0,0.0,0.0,2
clab-nebula-serf100,10,7,0,0,7,0,0.0,0.0,2
clab-nebula-serf105,10,3,0,0,3,0,0.0,0.0,2
clab-nebula-serf110,10,0,0,0,0,0,0,0,2
