hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,2,2,0,194,1.0,0.0102,0.0102
2,10,980,2,2,0,978,1.0,0.002,0.002
2,15,2560,456,246,210,2314,0.5395,0.0961,0.0888
2,20,5109,2370,1537,833,3572,0.6485,0.3008,0.2587
2,25,7980,5354,3448,1906,4532,0.644,0.4321,0.3488
2,30,11210,8564,6444,2120,4766,0.7525,0.5748,0.4834
2,35,14304,12726,9316,3410,4988,0.732,0.6513,0.5259
2,40,16753,13975,9773,4202,6980,0.6993,0.5834,0.4664
2,45,19080,14466,10777,3689,8303,0.745,0.5648,0.4733
2,50,21539,15572,12850,2722,8689,0.8252,0.5966,0.5297
2,55,23281,18748,17080,1668,6201,0.911,0.7336,0.6846
2,60,24431,21423,20352,1071,4079,0.95,0.833,0.7981
4,5,196,18,12,6,184,0.6667,0.0612,0.0594
4,10,980,348,262,86,718,0.7529,0.2673,0.2458
4,15,2560,2071,1481,590,1079,0.7151,0.5785,0.4702
4,20,5109,3309,2089,1220,3020,0.6313,0.4089,0.3301
4,25,7980,3651,1971,1680,6009,0.5399,0.247,0.204
4,30,11210,4716,2716,2000,8494,0.5759,0.2423,0.2056
4,35,14304,5498,3063,2435,11241,0.5571,0.2141,0.183
4,40,16753,5417,3238,2179,13515,0.5977,0.1933,0.171
4,45,19080,5661,3871,1790,15209,0.6838,0.2029,0.1855
4,50,21539,7488,6132,1356,15407,0.8189,0.2847,0.2678
4,55,23281,12904,11994,910,11287,0.9295,0.5152,0.4958
4,60,24431,18055,17313,742,7118,0.9589,0.7086,0.6878
6,5,44,1,1,0,43,1.0,0.0227,0.0227
6,10,172,48,29,19,143,0.6042,0.1686,0.1518
6,15,445,134,82,52,363,0.6119,0.1843,0.165
6,20,957,343,234,109,723,0.6822,0.2445,0.2195
6,25,1585,437,251,186,1334,0.5744,0.1584,0.1417
6,30,2301,428,246,182,2055,0.5748,0.1069,0.0991
6,35,2976,495,295,200,2681,0.596,0.0991,0.0929
6,40,3371,643,454,189,2917,0.7061,0.1347,0.1275
6,45,3776,883,747,136,3029,0.846,0.1978,0.191
6,50,4247,1795,1677,118,2570,0.9343,0.3949,0.3842
6,55,4560,2969,2871,98,1689,0.967,0.6296,0.6164
6,60,4726,3775,3603,172,1123,0.9544,0.7624,0.7356
