hilbert_order,q_node,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf130,5,0,8,0,8,0,0.0,0.0,0.0
2,clab-nebula-serf130,10,0,8,0,8,0,0.0,0.0,0.0
2,clab-nebula-serf130,15,0,8,0,8,0,0.0,0.0,0.0
2,clab-nebula-serf130,20,13,134,13,121,0,0.09701492537313433,1.0,0.09701492537313433
2,clab-nebula-serf130,25,14,134,14,120,0,0.1044776119402985,1.0,0.1044776119402985
2,clab-nebula-serf130,30,24,161,24,137,0,0.14906832298136646,1.0,0.14906832298136646
2,clab-nebula-serf130,35,41,161,41,120,0,0.2546583850931677,1.0,0.2546583850931677
2,clab-nebula-serf130,40,53,161,53,108,0,0.32919254658385094,1.0,0.32919254658385094
2,clab-nebula-serf130,45,84,161,84,77,0,0.5217391304347826,1.0,0.5217391304347826
2,clab-nebula-serf130,50,111,161,111,50,0,0.6894409937888198,1.0,0.6894409937888198
2,clab-nebula-serf130,55,136,161,136,25,0,0.84472049689441,1.0,0.84472049689441
2,clab-nebula-serf130,60,146,161,146,15,0,0.906832298136646,1.0,0.906832298136646
2,clab-nebula-serf161,5,4,32,4,28,0,0.125,1.0,0.125
2,clab-nebula-serf161,10,4,32,4,28,0,0.125,1.0,0.125
2,clab-nebula-serf161,15,5,55,5,50,0,0.09090909090909091,1.0,0.09090909090909091
2,clab-nebula-serf161,20,10,155,10,145,0,0.06451612903225806,1.0,0.06451612903225806
2,clab-nebula-serf161,25,22,155,22,133,0,0.14193548387096774,1.0,0.14193548387096774
2,clab-nebula-serf161,30,36,155,36,119,0,0.23225806451612904,1.0,0.23225806451612904
2,clab-nebula-serf161,35,42,155,42,113,0,0.2709677419354839,1.0,0.2709677419354839
2,clab-nebula-serf161,40,58,155,58,97,0,0.3741935483870968,1.0,0.3741935483870968
2,clab-nebula-serf161,45,79,155,79,76,0,0.5096774193548387,1.0,0.5096774193548387
2,clab-nebula-serf161,50,117,155,117,38,0,0.7548387096774194,1.0,0.7548387096774194
2,clab-nebula-serf161,55,139,155,137,18,2,0.8838709677419355,0.9856115107913669,0.8726114649681529
2,clab-nebula-serf161,60,149,155,147,8,2,0.9483870967741935,0.9865771812080537,0.9363057324840764
2,clab-nebula-serf32,5,3,62,3,59,0,0.04838709677419355,1.0,0.04838709677419355
2,clab-nebula-serf32,10,19,62,19,43,0,0.3064516129032258,1.0,0.3064516129032258
2,clab-nebula-serf32,15,32,128,32,96,0,0.25,1.0,0.25
2,clab-nebula-serf32,20,59,128,59,69,0,0.4609375,1.0,0.4609375
2,clab-nebula-serf32,25,88,161,88,73,0,0.546583850931677,1.0,0.546583850931677
2,clab-nebula-serf32,30,95,161,95,66,0,0.5900621118012422,1.0,0.5900621118012422
2,clab-nebula-serf32,35,108,161,108,53,0,0.6708074534161491,1.0,0.6708074534161491
2,clab-nebula-serf32,40,121,161,121,40,0,0.7515527950310559,1.0,0.7515527950310559
2,clab-nebula-serf32,45,124,161,124,37,0,0.7701863354037267,1.0,0.7701863354037267
2,clab-nebula-serf32,50,137,161,137,24,0,0.8509316770186336,1.0,0.8509316770186336
2,clab-nebula-serf32,55,154,161,154,7,0,0.9565217391304348,1.0,0.9565217391304348
2,clab-nebula-serf32,60,155,161,155,6,0,0.9627329192546584,1.0,0.9627329192546584
2,clab-nebula-serf63,5,0,4,0,4,0,0.0,0.0,0.0
2,clab-nebula-serf63,10,0,4,0,4,0,0.0,0.0,0.0
2,clab-nebula-serf63,15,6,125,6,119,0,0.048,1.0,0.048
2,clab-nebula-serf63,20,32,127,32,95,0,0.25196850393700787,1.0,0.25196850393700787
2,clab-nebula-serf63,25,64,127,64,63,0,0.5039370078740157,1.0,0.5039370078740157
2,clab-nebula-serf63,30,84,127,82,45,2,0.6456692913385826,0.9761904761904762,0.6356589147286822
2,clab-nebula-serf63,35,103,127,99,28,4,0.7795275590551181,0.9611650485436893,0.7557251908396947
2,clab-nebula-serf63,40,119,161,119,42,0,0.7391304347826086,1.0,0.7391304347826086
2,clab-nebula-serf63,45,124,161,124,37,0,0.7701863354037267,1.0,0.7701863354037267
2,clab-nebula-serf63,50,128,161,128,33,0,0.7950310559006211,1.0,0.7950310559006211
2,clab-nebula-serf63,55,154,130,127,3,27,0.9769230769230769,0.8246753246753247,0.8089171974522293
2,clab-nebula-serf63,60,154,130,127,3,27,0.9769230769230769,0.8246753246753247,0.8089171974522293
2,clab-nebula-serf45,5,2,62,2,60,0,0.03225806451612903,1.0,0.03225806451612903
2,clab-nebula-serf45,10,8,118,8,110,0,0.06779661016949153,1.0,0.06779661016949153
2,clab-nebula-serf45,15,22,128,22,106,0,0.171875,1.0,0.171875
2,clab-nebula-serf45,20,40,128,40,88,0,0.3125,1.0,0.3125
2,clab-nebula-serf45,25,80,128,80,48,0,0.625,1.0,0.625
2,clab-nebula-serf45,30,90,128,88,40,2,0.6875,0.9777777777777777,0.676923076923077
2,clab-nebula-serf45,35,118,155,116,39,2,0.7483870967741936,0.9830508474576272,0.7388535031847133
2,clab-nebula-serf45,40,121,155,119,36,2,0.7677419354838709,0.9834710743801653,0.7579617834394905
2,clab-nebula-serf45,45,124,155,122,33,2,0.7870967741935484,0.9838709677419355,0.7770700636942676
2,clab-nebula-serf45,50,145,155,143,12,2,0.9225806451612903,0.9862068965517241,0.910828025477707
2,clab-nebula-serf45,55,154,155,152,3,2,0.9806451612903225,0.987012987012987,0.9681528662420382
2,clab-nebula-serf45,60,155,155,153,2,2,0.9870967741935484,0.9870967741935484,0.9745222929936306
2,clab-nebula-serf49,5,4,62,4,58,0,0.06451612903225806,1.0,0.06451612903225806
2,clab-nebula-serf49,10,14,118,14,104,0,0.11864406779661017,1.0,0.11864406779661017
