hilbert_order,q_node,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf130,5,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf130,10,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf130,15,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf130,20,13,0,0,0,13,0,0.0,0.0
2,clab-nebula-serf130,25,14,0,0,0,14,0,0.0,0.0
2,clab-nebula-serf130,30,24,0,0,0,24,0,0.0,0.0
2,clab-nebula-serf130,35,41,11,11,0,30,1.0,0.2682926829268293,0.2682926829268293
2,clab-nebula-serf130,40,53,11,11,0,42,1.0,0.20754716981132076,0.20754716981132076
2,clab-nebula-serf130,45,84,11,11,0,73,1.0,0.13095238095238096,0.13095238095238096
2,clab-nebula-serf130,50,111,11,11,0,100,1.0,0.0990990990990991,0.0990990990990991
2,clab-nebula-serf130,55,136,11,11,0,125,1.0,0.08088235294117647,0.08088235294117647
2,clab-nebula-serf130,60,146,11,11,0,135,1.0,0.07534246575342465,0.07534246575342465
2,clab-nebula-serf161,5,4,0,0,0,4,0,0.0,0.0
2,clab-nebula-serf161,10,4,0,0,0,4,0,0.0,0.0
2,clab-nebula-serf161,15,5,0,0,0,5,0,0.0,0.0
2,clab-nebula-serf161,20,10,0,0,0,10,0,0.0,0.0
2,clab-nebula-serf161,25,22,0,0,0,22,0,0.0,0.0
2,clab-nebula-serf161,30,36,0,0,0,36,0,0.0,0.0
2,clab-nebula-serf161,35,42,0,0,0,42,0,0.0,0.0
2,clab-nebula-serf161,40,58,0,0,0,58,0,0.0,0.0
2,clab-nebula-serf161,45,79,0,0,0,79,0,0.0,0.0
2,clab-nebula-serf161,50,117,57,54,3,63,0.9473684210526315,0.46153846153846156,0.45
2,clab-nebula-serf161,55,139,57,56,1,83,0.9824561403508771,0.4028776978417266,0.4
2,clab-nebula-serf161,60,149,57,57,0,92,1.0,0.3825503355704698,0.3825503355704698
2,clab-nebula-serf32,5,3,0,0,0,3,0,0.0,0.0
2,clab-nebula-serf32,10,19,0,0,0,19,0,0.0,0.0
2,clab-nebula-serf32,15,32,0,0,0,32,0,0.0,0.0
2,clab-nebula-serf32,20,59,0,0,0,59,0,0.0,0.0
2,clab-nebula-serf32,25,88,0,0,0,88,0,0.0,0.0
2,clab-nebula-serf32,30,95,0,0,0,95,0,0.0,0.0
2,clab-nebula-serf32,35,108,0,0,0,108,0,0.0,0.0
2,clab-nebula-serf32,40,121,0,0,0,121,0,0.0,0.0
2,clab-nebula-serf32,45,124,0,0,0,124,0,0.0,0.0
2,clab-nebula-serf32,50,137,30,30,0,107,1.0,0.21897810218978103,0.21897810218978103
2,clab-nebula-serf32,55,154,30,30,0,124,1.0,0.19480519480519481,0.19480519480519481
2,clab-nebula-serf32,60,155,30,30,0,125,1.0,0.1935483870967742,0.1935483870967742
2,clab-nebula-serf63,5,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf63,10,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf63,15,6,0,0,0,6,0,0.0,0.0
2,clab-nebula-serf63,20,32,0,0,0,32,0,0.0,0.0
2,clab-nebula-serf63,25,64,0,0,0,64,0,0.0,0.0
2,clab-nebula-serf63,30,84,0,0,0,84,0,0.0,0.0
