hilbert_order,q_node,t,scale,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf130,5,1.5,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf130,10,1.5,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf130,15,1.5,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf130,20,1.5,13,0,0,0,13,0,0.0,0.0
2,clab-nebula-serf130,25,1.5,14,0,0,0,14,0,0.0,0.0
2,clab-nebula-serf130,30,1.5,24,11,11,0,13,1.0,0.4583333333333333,0.4583333333333333
2,clab-nebula-serf130,35,1.5,41,11,11,0,30,1.0,0.2682926829268293,0.2682926829268293
2,clab-nebula-serf130,40,1.5,53,11,11,0,42,1.0,0.20754716981132076,0.20754716981132076
2,clab-nebula-serf130,45,1.5,84,26,26,0,58,1.0,0.30952380952380953,0.30952380952380953
2,clab-nebula-serf130,50,1.5,111,26,26,0,85,1.0,0.23423423423423423,0.23423423423423423
2,clab-nebula-serf130,55,1.5,136,161,136,25,0,0.84472049689441,1.0,0.84472049689441
2,clab-nebula-serf130,60,1.5,146,161,146,15,0,0.906832298136646,1.0,0.906832298136646
2,clab-nebula-serf161,5,1.5,4,0,0,0,4,0,0.0,0.0
2,clab-nebula-serf161,10,1.5,4,0,0,0,4,0,0.0,0.0
2,clab-nebula-serf161,15,1.5,5,0,0,0,5,0,0.0,0.0
2,clab-nebula-serf161,20,1.5,10,0,0,0,10,0,0.0,0.0
2,clab-nebula-serf161,25,1.5,22,0,0,0,22,0,0.0,0.0
2,clab-nebula-serf161,30,1.5,36,0,0,0,36,0,0.0,0.0
2,clab-nebula-serf161,35,1.5,42,0,0,0,42,0,0.0,0.0
2,clab-nebula-serf161,40,1.5,58,0,0,0,58,0,0.0,0.0
2,clab-nebula-serf161,45,1.5,79,57,46,11,33,0.8070175438596491,0.5822784810126582,0.5111111111111111
2,clab-nebula-serf161,50,1.5,117,58,54,4,63,0.9310344827586207,0.46153846153846156,0.4462809917355372
2,clab-nebula-serf161,55,1.5,139,58,56,2,83,0.9655172413793104,0.4028776978417266,0.3971631205673759
2,clab-nebula-serf161,60,1.5,149,161,149,12,0,0.9254658385093167,1.0,0.9254658385093167
2,clab-nebula-serf32,5,1.5,3,0,0,0,3,0,0.0,0.0
2,clab-nebula-serf32,10,1.5,19,0,0,0,19,0,0.0,0.0
2,clab-nebula-serf32,15,1.5,32,30,10,20,22,0.3333333333333333,0.3125,0.19230769230769232
2,clab-nebula-serf32,20,1.5,59,48,41,7,18,0.8541666666666666,0.6949152542372882,0.6212121212121212
2,clab-nebula-serf32,25,1.5,88,68,64,4,24,0.9411764705882353,0.7272727272727273,0.6956521739130435
2,clab-nebula-serf32,30,1.5,95,76,68,8,27,0.8947368421052632,0.7157894736842105,0.6601941747572816
2,clab-nebula-serf32,35,1.5,108,76,69,7,39,0.9078947368421053,0.6388888888888888,0.6
2,clab-nebula-serf32,40,1.5,121,76,76,0,45,1.0,0.628099173553719,0.628099173553719
2,clab-nebula-serf32,45,1.5,124,76,76,0,48,1.0,0.6129032258064516,0.6129032258064516
2,clab-nebula-serf32,50,1.5,137,78,78,0,59,1.0,0.5693430656934306,0.5693430656934306
2,clab-nebula-serf32,55,1.5,154,161,154,7,0,0.9565217391304348,1.0,0.9565217391304348
2,clab-nebula-serf32,60,1.5,155,161,155,6,0,0.9627329192546584,1.0,0.9627329192546584
2,clab-nebula-serf63,5,1.5,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf63,10,1.5,0,0,0,0,0,0.0,0.0,0.0
2,clab-nebula-serf63,15,1.5,6,0,0,0,6,0,0.0,0.0
2,clab-nebula-serf63,20,1.5,32,0,0,0,32,0,0.0,0.0
2,clab-nebula-serf63,25,1.5,64,0,0,0,64,0,0.0,0.0
2,clab-nebula-serf63,30,1.5,84,0,0,0,84,0,0.0,0.0
2,clab-nebula-serf63,35,1.5,103,30,28,2,75,0.9333333333333333,0.27184466019417475,0.26666666666666666
2,clab-nebula-serf63,40,1.5,119,30,29,1,90,0.9666666666666667,0.24369747899159663,0.24166666666666667
2,clab-nebula-serf63,45,1.5,124,30,30,0,94,1.0,0.24193548387096775,0.24193548387096775
2,clab-nebula-serf63,50,1.5,128,30,30,0,98,1.0,0.234375,0.234375
