hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,0,0,0,196,,0.0,0.0
2,10,980,24,6,18,974,0.25,0.0061,0.006
2,15,2560,549,300,249,2260,0.5464,0.1172,0.1068
2,20,5109,1690,1252,438,3857,0.7408,0.2451,0.2257
2,25,7980,3152,2773,379,5207,0.8798,0.3475,0.3317
2,30,11210,5083,4444,639,6766,0.8743,0.3964,0.3751
2,35,14304,6145,5629,516,8675,0.916,0.3935,0.3798
2,40,16753,7592,7054,538,9699,0.9291,0.4211,0.408
2,45,19080,8933,8570,363,10510,0.9594,0.4492,0.4408
2,50,21539,11643,11250,393,10289,0.9662,0.5223,0.5129
2,55,23281,16871,15949,922,7332,0.9454,0.6851,0.659
2,60,24431,21541,20807,734,3624,0.9659,0.8517,0.8268
4,5,196,5,4,1,192,0.8,0.0204,0.0203
4,10,980,491,328,163,652,0.668,0.3347,0.287
4,15,2560,1658,1180,478,1380,0.7117,0.4609,0.3884
4,20,5109,3731,2849,882,2260,0.7636,0.5576,0.4755
4,25,7980,5749,4756,993,3224,0.8273,0.596,0.53
4,30,11210,9582,8099,1483,3111,0.8452,0.7225,0.6381
4,35,14304,12511,10914,1597,3390,0.8724,0.763,0.6864
4,40,16753,15190,13662,1528,3091,0.8994,0.8155,0.7473
4,45,19080,17484,16112,1372,2968,0.9215,0.8444,0.7878
4,50,21539,21360,19863,1497,1676,0.9299,0.9222,0.8623
4,55,23281,24114,22829,1285,452,0.9467,0.9806,0.9293
4,60,24431,24706,23981,725,450,0.9707,0.9816,0.9533
6,5,196,95,58,37,138,0.6105,0.2959,0.2489
6,10,980,711,493,218,487,0.6934,0.5031,0.4115
6,15,2560,1840,1313,527,1247,0.7136,0.5129,0.4253
6,20,5109,3678,2788,890,2321,0.758,0.5457,0.4647
6,25,7980,5382,4357,1025,3623,0.8096,0.546,0.4838
6,30,11210,9362,7673,1689,3537,0.8196,0.6845,0.5949
6,35,14304,12843,10842,2001,3462,0.8442,0.758,0.6649
6,40,16753,15022,13295,1727,3458,0.885,0.7936,0.7194
6,45,19080,17411,15943,1468,3137,0.9157,0.8356,0.7759
6,50,21539,21340,19681,1659,1858,0.9223,0.9137,0.8484
6,55,23281,23418,22444,974,837,0.9584,0.964,0.9253
6,60,24431,24453,23749,704,682,0.9712,0.9721,0.9449
8,5,196,153,104,49,92,0.6797,0.5306,0.4245
8,10,980,841,585,256,395,0.6956,0.5969,0.4733
8,15,2560,1893,1406,487,1154,0.7427,0.5492,0.4614
8,20,5109,3518,2653,865,2456,0.7541,0.5193,0.4441
8,25,7980,5234,4204,1030,3776,0.8032,0.5268,0.4666
8,30,11210,9161,7414,1747,3796,0.8093,0.6614,0.5722
8,35,14304,12711,10599,2112,3705,0.8338,0.741,0.6457
8,40,16753,14781,13000,1781,3753,0.8795,0.776,0.7014
8,45,19080,17059,15549,1510,3531,0.9115,0.8149,0.7552
8,50,21539,20633,18977,1656,2562,0.9197,0.8811,0.8182
8,55,23281,23145,22156,989,1125,0.9573,0.9517,0.9129
8,60,24431,24221,23557,664,874,0.9726,0.9642,0.9387
10,5,196,164,111,53,85,0.6768,0.5663,0.4458
10,10,980,866,599,267,381,0.6917,0.6112,0.4804
10,15,2560,1885,1390,495,1170,0.7374,0.543,0.455
10,20,5109,3498,2639,859,2470,0.7544,0.5165,0.4422
10,25,7980,5163,4163,1000,3817,0.8063,0.5217,0.4636
10,30,11210,9021,7298,1723,3912,0.809,0.651,0.5643
10,35,14304,12551,10436,2115,3868,0.8315,0.7296,0.6356
10,40,16753,14641,12839,1802,3914,0.8769,0.7664,0.6919
10,45,19080,16938,15420,1518,3660,0.9104,0.8082,0.7486
10,50,21539,20486,18846,1640,2693,0.9199,0.875,0.8131
10,55,23281,23114,22132,982,1149,0.9575,0.9506,0.9122
10,60,24431,24186,23528,658,903,0.9728,0.963,0.9378
