hilbert_order,t,gt,found,tp,fp,fn,precision,recall,jaccard
2,5,196,0,0,0,196,,0.0,0.0
2,10,980,0,0,0,980,,0.0,0.0
2,15,2560,46,38,8,2522,0.8261,0.0148,0.0148
2,20,5109,280,227,53,4882,0.8107,0.0444,0.044
2,25,7980,719,665,54,7315,0.9249,0.0833,0.0828
2,30,11210,1295,1214,81,9996,0.9375,0.1083,0.1075
2,35,14304,1566,1507,59,12797,0.9623,0.1054,0.1049
2,40,16753,1883,1848,35,14905,0.9814,0.1103,0.1101
2,45,19080,2946,2866,80,16214,0.9728,0.1502,0.1496
2,50,21539,3608,3518,90,18021,0.9751,0.1633,0.1627
2,55,23281,3954,3922,32,19359,0.9919,0.1685,0.1682
2,60,24431,4128,4119,9,20312,0.9978,0.1686,0.1685
4,5,196,5,4,1,192,0.8,0.0204,0.0203
4,10,980,116,100,16,880,0.8621,0.102,0.1004
4,15,2560,474,460,14,2100,0.9705,0.1797,0.1787
4,20,5109,1193,1118,75,3991,0.9371,0.2188,0.2157
4,25,7980,1796,1714,82,6266,0.9543,0.2148,0.2126
4,30,11210,2756,2683,73,8527,0.9735,0.2393,0.2378
4,35,14304,3748,3692,56,10612,0.9851,0.2581,0.2571
4,40,16753,4148,4116,32,12637,0.9923,0.2457,0.2452
4,45,19080,4746,4700,46,14380,0.9903,0.2463,0.2457
4,50,21539,5729,5711,18,15828,0.9969,0.2651,0.2649
4,55,23281,6230,6217,13,17064,0.9979,0.267,0.2669
4,60,24431,6540,6537,3,17894,0.9995,0.2676,0.2675
6,5,196,24,17,7,179,0.7083,0.0867,0.0837
6,10,980,293,234,59,746,0.7986,0.2388,0.2252
6,15,2560,873,783,90,1777,0.8969,0.3059,0.2955
6,20,5109,1580,1515,65,3594,0.9589,0.2965,0.2928
6,25,7980,2121,2071,50,5909,0.9764,0.2595,0.2579
6,30,11210,3573,3408,165,7802,0.9538,0.304,0.2996
6,35,14304,4298,4244,54,10060,0.9874,0.2967,0.2956
6,40,16753,4787,4732,55,12021,0.9885,0.2825,0.2815
6,45,19080,5114,5073,41,14007,0.992,0.2659,0.2653
6,50,21539,5489,5464,25,16075,0.9954,0.2537,0.2534
6,55,23281,5829,5818,11,17463,0.9981,0.2499,0.2498
6,60,24431,6017,6017,0,18414,1.0,0.2463,0.2463
8,5,196,44,32,12,164,0.7273,0.1633,0.1538
8,10,980,373,299,74,681,0.8016,0.3051,0.2837
8,15,2560,988,873,115,1687,0.8836,0.341,0.3264
8,20,5109,1722,1642,80,3467,0.9535,0.3214,0.3164
8,25,7980,2173,2124,49,5856,0.9775,0.2662,0.2645
8,30,11210,3448,3264,184,7946,0.9466,0.2912,0.2865
8,35,14304,4246,4181,65,10123,0.9847,0.2923,0.291
8,40,16753,4805,4770,35,11983,0.9927,0.2847,0.2841
8,45,19080,5037,5008,29,14072,0.9942,0.2625,0.2621
8,50,21539,5477,5457,20,16082,0.9963,0.2534,0.2531
8,55,23281,5816,5813,3,17468,0.9995,0.2497,0.2497
8,60,24431,6236,6235,1,18196,0.9998,0.2552,0.2552
10,5,196,42,30,12,166,0.7143,0.1531,0.1442
10,10,980,407,328,79,652,0.8059,0.3347,0.3097
10,15,2560,1009,899,110,1661,0.891,0.3512,0.3367
10,20,5109,1700,1625,75,3484,0.9559,0.3181,0.3135
10,25,7980,2141,2099,42,5881,0.9804,0.263,0.2617
10,30,11210,3395,3227,168,7983,0.9505,0.2879,0.2836
10,35,14304,4209,4144,65,10160,0.9846,0.2897,0.2884
10,40,16753,4678,4644,34,12109,0.9927,0.2772,0.2766
10,45,19080,5032,5004,28,14076,0.9944,0.2623,0.2619
10,50,21539,5533,5513,20,16026,0.9964,0.256,0.2557
10,55,23281,5880,5877,3,17404,0.9995,0.2524,0.2524
10,60,24431,6300,6299,1,18132,0.9998,0.2578,0.2578
