From,To,RTT_actual_A_to_B,RTT_predicted
clab-nebula-serf130,clab-nebula-serf1,57.066,52.776
clab-nebula-serf130,clab-nebula-serf10,52.224,40.871
clab-nebula-serf130,clab-nebula-serf100,39.1,29.729
clab-nebula-serf130,clab-nebula-serf101,40.619,29.47
clab-nebula-serf130,clab-nebula-serf102,40.938,30.26
clab-nebula-serf130,clab-nebula-serf103,38.44,29.886
clab-nebula-serf130,clab-nebula-serf104,34.043,20.958
clab-nebula-serf130,clab-nebula-serf105,35.322,21.815
clab-nebula-serf130,clab-nebula-serf106,39.191,21.464
clab-nebula-serf130,clab-nebula-serf107,37.02,21.221
clab-nebula-serf130,clab-nebula-serf108,35.054,20.076
clab-nebula-serf130,clab-nebula-serf109,29.101,21.085
clab-nebula-serf130,clab-nebula-serf11,50.611,40.675
clab-nebula-serf130,clab-nebula-serf110,41.445,20.479
clab-nebula-serf130,clab-nebula-serf111,31.537,21.501
clab-nebula-serf130,clab-nebula-serf112,48.298,24.888
clab-nebula-serf130,clab-nebula-serf113,39.409,29.322
clab-nebula-serf130,clab-nebula-serf114,39.556,29.142
clab-nebula-serf130,clab-nebula-serf115,63.982,40.217
clab-nebula-serf130,clab-nebula-serf116,65.76,49.708
clab-nebula-serf130,clab-nebula-serf117,64.976,60.644
clab-nebula-serf130,clab-nebula-serf118,69.826,65.225
clab-nebula-serf130,clab-nebula-serf119,68.812,64.616
clab-nebula-serf130,clab-nebula-serf12,52.324,38.592
clab-nebula-serf130,clab-nebula-serf120,70.183,65.723
clab-nebula-serf130,clab-nebula-serf121,29.113,18.11
clab-nebula-serf130,clab-nebula-serf122,31.315,17.729
clab-nebula-serf130,clab-nebula-serf123,30.022,18.888
clab-nebula-serf130,clab-nebula-serf124,26.488,16.424
clab-nebula-serf130,clab-nebula-serf125,17.194,10.142
clab-nebula-serf130,clab-nebula-serf126,16.504,9.998
clab-nebula-serf130,clab-nebula-serf127,17.207,10.399
clab-nebula-serf130,clab-nebula-serf128,36.44,21.843
clab-nebula-serf130,clab-nebula-serf129,39.78,20.39
clab-nebula-serf130,clab-nebula-serf13,50.646,37.717
clab-nebula-serf130,clab-nebula-serf131,17.916,2.004
clab-nebula-serf130,clab-nebula-serf132,15.549,1.304
clab-nebula-serf130,clab-nebula-serf133,18.389,1.421
clab-nebula-serf130,clab-nebula-serf134,16.711,1.888
clab-nebula-serf130,clab-nebula-serf135,19.386,3.189
clab-nebula-serf130,clab-nebula-serf136,17.342,0.884
clab-nebula-serf130,clab-nebula-serf137,18.61,2.682
clab-nebula-serf130,clab-nebula-serf138,19.544,1.819
clab-nebula-serf130,clab-nebula-serf139,17.435,1.873
clab-nebula-serf130,clab-nebula-serf14,53.104,38.956
clab-nebula-serf130,clab-nebula-serf140,20.074,1.713
clab-nebula-serf130,clab-nebula-serf141,19.193,1.42
clab-nebula-serf130,clab-nebula-serf142,34.084,14.86
clab-nebula-serf130,clab-nebula-serf143,33.752,14.232
clab-nebula-serf130,clab-nebula-serf144,25.189,15.016
clab-nebula-serf130,clab-nebula-serf145,33.286,15.197
clab-nebula-serf130,clab-nebula-serf146,32.514,14.655
clab-nebula-serf130,clab-nebula-serf147,31.504,14.354
clab-nebula-serf130,clab-nebula-serf148,34.7,15.1
clab-nebula-serf130,clab-nebula-serf149,31.85,15.429
clab-nebula-serf130,clab-nebula-serf15,48.972,37.623
clab-nebula-serf130,clab-nebula-serf150,32.727,19.25
clab-nebula-serf130,clab-nebula-serf151,32.418,14.255
clab-nebula-serf130,clab-nebula-serf152,27.181,14.682
clab-nebula-serf130,clab-nebula-serf153,32.126,13.823
clab-nebula-serf130,clab-nebula-serf154,32.975,14.103
clab-nebula-serf130,clab-nebula-serf155,32.274,14.592
clab-nebula-serf130,clab-nebula-serf156,30.363,14.293
clab-nebula-serf130,clab-nebula-serf157,27.043,16.901
clab-nebula-serf130,clab-nebula-serf158,27.023,15.751
clab-nebula-serf130,clab-nebula-serf159,27.116,16.299
clab-nebula-serf130,clab-nebula-serf16,48.065,37.862
clab-nebula-serf130,clab-nebula-serf160,25.241,16.069
clab-nebula-serf130,clab-nebula-serf161,25.756,15.611
clab-nebula-serf130,clab-nebula-serf162,36.148,20.089
clab-nebula-serf130,clab-nebula-serf17,49.193,37.767
clab-nebula-serf130,clab-nebula-serf18,51.403,40.982
clab-nebula-serf130,clab-nebula-serf19,51.019,39.059
clab-nebula-serf130,clab-nebula-serf2,64.051,47.468
clab-nebula-serf130,clab-nebula-serf20,57.726,45.266
clab-nebula-serf130,clab-nebula-serf21,56.825,43.037
clab-nebula-serf130,clab-nebula-serf22,58.869,43.119
clab-nebula-serf130,clab-nebula-serf23,64.132,43.318
clab-nebula-serf130,clab-nebula-serf24,62.725,44.913
