From,To,RTT_actual_A_to_B,RTT_predicted
clab-nebula-serf130,clab-nebula-serf1,57.066,67.065
clab-nebula-serf130,clab-nebula-serf10,52.224,62.336
clab-nebula-serf130,clab-nebula-serf100,39.1,48.906
clab-nebula-serf130,clab-nebula-serf101,40.619,50.313
clab-nebula-serf130,clab-nebula-serf102,40.938,50.391
clab-nebula-serf130,clab-nebula-serf103,38.44,48.017
clab-nebula-serf130,clab-nebula-serf104,34.043,44.952
clab-nebula-serf130,clab-nebula-serf105,35.322,46.92
clab-nebula-serf130,clab-nebula-serf106,39.191,50.009
clab-nebula-serf130,clab-nebula-serf107,37.02,48.234
clab-nebula-serf130,clab-nebula-serf108,35.054,46.823
clab-nebula-serf130,clab-nebula-serf109,29.101,40.35
clab-nebula-serf130,clab-nebula-serf11,50.611,60.275
clab-nebula-serf130,clab-nebula-serf110,41.445,52.414
clab-nebula-serf130,clab-nebula-serf111,31.537,42.893
clab-nebula-serf130,clab-nebula-serf112,48.298,57.954
clab-nebula-serf130,clab-nebula-serf113,39.409,48.723
clab-nebula-serf130,clab-nebula-serf114,39.556,48.665
clab-nebula-serf130,clab-nebula-serf115,63.982,73.728
clab-nebula-serf130,clab-nebula-serf116,65.76,75.086
clab-nebula-serf130,clab-nebula-serf117,64.976,74.737
clab-nebula-serf130,clab-nebula-serf118,69.826,79.447
clab-nebula-serf130,clab-nebula-serf119,68.812,78.789
clab-nebula-serf130,clab-nebula-serf12,52.324,61.999
clab-nebula-serf130,clab-nebula-serf120,70.183,79.864
clab-nebula-serf130,clab-nebula-serf121,29.113,39.115
clab-nebula-serf130,clab-nebula-serf122,31.315,41.151
clab-nebula-serf130,clab-nebula-serf123,30.022,40.268
clab-nebula-serf130,clab-nebula-serf124,26.488,36.26
clab-nebula-serf130,clab-nebula-serf125,17.194,26.86
clab-nebula-serf130,clab-nebula-serf126,16.504,26.241
clab-nebula-serf130,clab-nebula-serf127,17.207,27.093
clab-nebula-serf130,clab-nebula-serf128,36.44,47.161
clab-nebula-serf130,clab-nebula-serf129,39.78,50.261
clab-nebula-serf130,clab-nebula-serf13,50.646,60.839
clab-nebula-serf130,clab-nebula-serf131,17.916,27.23
clab-nebula-serf130,clab-nebula-serf132,15.549,25.602
clab-nebula-serf130,clab-nebula-serf133,18.389,28.375
clab-nebula-serf130,clab-nebula-serf134,16.711,26.431
clab-nebula-serf130,clab-nebula-serf135,19.386,29.43
clab-nebula-serf130,clab-nebula-serf136,17.342,27.314
clab-nebula-serf130,clab-nebula-serf137,18.61,28.059
clab-nebula-serf130,clab-nebula-serf138,19.544,29.586
clab-nebula-serf130,clab-nebula-serf139,17.435,26.8
clab-nebula-serf130,clab-nebula-serf14,53.104,63.155
clab-nebula-serf130,clab-nebula-serf140,20.074,29.501
clab-nebula-serf130,clab-nebula-serf141,19.193,28.867
clab-nebula-serf130,clab-nebula-serf142,34.084,43.81
