From,To,RTT_actual_A_to_B,RTT_predicted
clab-nebula-serf130,clab-nebula-serf1,57.066,57.066
clab-nebula-serf130,clab-nebula-serf10,52.224,52.224
clab-nebula-serf130,clab-nebula-serf100,39.1,39.1
clab-nebula-serf130,clab-nebula-serf101,40.619,40.619
clab-nebula-serf130,clab-nebula-serf102,40.938,40.938
clab-nebula-serf130,clab-nebula-serf103,38.44,38.44
clab-nebula-serf130,clab-nebula-serf104,34.043,34.043
clab-nebula-serf130,clab-nebula-serf105,35.322,35.322
clab-nebula-serf130,clab-nebula-serf106,39.191,39.191
clab-nebula-serf130,clab-nebula-serf107,37.02,37.02
clab-nebula-serf130,clab-nebula-serf108,35.054,35.054
clab-nebula-serf130,clab-nebula-serf109,29.101,29.101
clab-nebula-serf130,clab-nebula-serf11,50.611,50.611
clab-nebula-serf130,clab-nebula-serf110,41.445,41.445
clab-nebula-serf130,clab-nebula-serf111,31.537,31.537
clab-nebula-serf130,clab-nebula-serf112,48.298,48.298
clab-nebula-serf130,clab-nebula-serf113,39.409,39.409
clab-nebula-serf130,clab-nebula-serf114,39.556,39.556
clab-nebula-serf130,clab-nebula-serf115,63.982,63.982
clab-nebula-serf130,clab-nebula-serf116,65.76,65.76
clab-nebula-serf130,clab-nebula-serf117,64.976,64.976
clab-nebula-serf130,clab-nebula-serf118,69.826,69.826
clab-nebula-serf130,clab-nebula-serf119,68.812,68.812
clab-nebula-serf130,clab-nebula-serf12,52.324,52.324
clab-nebula-serf130,clab-nebula-serf120,70.183,70.183
clab-nebula-serf130,clab-nebula-serf121,29.113,29.113
clab-nebula-serf130,clab-nebula-serf122,31.315,31.315
clab-nebula-serf130,clab-nebula-serf123,30.022,30.022
clab-nebula-serf130,clab-nebula-serf124,26.488,26.488
clab-nebula-serf130,clab-nebula-serf125,17.194,17.194
clab-nebula-serf130,clab-nebula-serf126,16.504,16.504
clab-nebula-serf130,clab-nebula-serf127,17.207,17.207
clab-nebula-serf130,clab-nebula-serf128,36.44,36.44
clab-nebula-serf130,clab-nebula-serf129,39.78,39.78
clab-nebula-serf130,clab-nebula-serf13,50.646,50.646
clab-nebula-serf130,clab-nebula-serf131,17.916,17.916
clab-nebula-serf130,clab-nebula-serf132,15.549,15.549
clab-nebula-serf130,clab-nebula-serf133,18.389,18.389
clab-nebula-serf130,clab-nebula-serf134,16.711,16.711
clab-nebula-serf130,clab-nebula-serf135,19.386,19.386
clab-nebula-serf130,clab-nebula-serf136,17.342,17.342
clab-nebula-serf130,clab-nebula-serf137,18.61,18.61
clab-nebula-serf130,clab-nebula-serf138,19.544,19.544
clab-nebula-serf130,clab-nebula-serf139,17.435,17.435
clab-nebula-serf130,clab-nebula-serf14,53.104,53.104
clab-nebula-serf130,clab-nebula-serf140,20.074,20.074
clab-nebula-serf130,clab-nebula-serf141,19.193,19.193
clab-nebula-serf130,clab-nebula-serf142,34.084,34.084
clab-nebula-serf130,clab-nebula-serf143,33.752,33.752
clab-nebula-serf130,clab-nebula-serf144,25.189,25.189
clab-nebula-serf130,clab-nebula-serf145,33.286,33.286
clab-nebula-serf130,clab-nebula-serf146,32.514,32.514
clab-nebula-serf130,clab-nebula-serf147,31.504,31.504
clab-nebula-serf130,clab-nebula-serf148,34.7,34.7
clab-nebula-serf130,clab-nebula-serf149,31.85,31.85
clab-nebula-serf130,clab-nebula-serf15,48.972,48.972
clab-nebula-serf130,clab-nebula-serf150,32.727,32.727
