hilbert_order,threshold,gt,found,fp,fn,precision,recall,jaccard
2,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
2,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
2,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
2,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
2,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
2,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
2,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
2,40,98.6364,9.0909,0.0,89.5455,0.6667,0.0965,0.0965
2,45,113.1515,26.8485,0.0,86.303,0.9394,0.2199,0.2199
2,50,129.1515,51.1212,0.0303,78.0303,0.9693,0.372,0.3718
2,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
2,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
4,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
4,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
4,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
4,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
4,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
4,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
4,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
4,40,98.6364,8.8788,0.0,89.7576,0.6667,0.0948,0.0948
4,45,113.1515,26.2727,0.0,86.8788,0.9394,0.2201,0.2201
4,50,129.1515,49.1818,0.0303,79.9697,0.939,0.3563,0.3561
4,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
4,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
6,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
6,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
6,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
6,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
6,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
6,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
6,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
6,40,98.6364,8.9697,0.0,89.6667,0.6667,0.0956,0.0956
6,45,113.1515,26.1515,0.0,87.0,0.9394,0.2196,0.2196
6,50,129.1515,49.303,0.0303,79.8485,0.9693,0.3574,0.3573
6,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
6,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
8,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
8,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
8,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
8,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
8,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
8,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
8,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
8,40,98.6364,9.0303,0.0,89.6061,0.6667,0.096,0.096
8,45,113.1515,26.2727,0.0,86.8788,0.9394,0.2205,0.2205
8,50,129.1515,50.2424,0.0303,78.9091,0.9693,0.365,0.3648
8,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
8,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
10,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
10,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
10,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
10,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
10,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
10,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
10,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
10,40,98.6364,9.0606,0.0,89.5758,0.6667,0.0962,0.0962
10,45,113.1515,26.2727,0.0,86.8788,0.9394,0.2205,0.2205
10,50,129.1515,50.2424,0.0303,78.9091,0.9693,0.365,0.3648
10,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
10,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
12,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
12,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
12,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
12,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
12,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
12,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
12,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
12,40,98.6364,9.0303,0.0,89.6061,0.6667,0.096,0.096
12,45,113.1515,26.2727,0.0,86.8788,0.9394,0.2205,0.2205
12,50,129.1515,50.2424,0.0303,78.9091,0.9693,0.365,0.3648
12,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
12,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
14,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
14,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
14,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
14,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
14,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
14,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
14,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
14,40,98.6364,9.0303,0.0,89.6061,0.6667,0.096,0.096
14,45,113.1515,26.2727,0.0,86.8788,0.9394,0.2205,0.2205
14,50,129.1515,50.2424,0.0303,78.9091,0.9693,0.365,0.3648
14,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
14,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
16,5,0.9697,0.0,0.0,0.9697,0.0,0.0,0.0
16,10,5.2121,0.0,0.0,5.2121,0.0,0.0,0.0
16,15,14.1818,0.0,0.0,14.1818,0.0,0.0,0.0
16,20,30.3939,0.0,0.0,30.3939,0.0,0.0,0.0
16,25,49.5455,0.0,0.0,49.5455,0.0,0.0,0.0
16,30,68.7273,0.0303,0.0,68.697,0.0303,0.0101,0.0101
16,35,86.3333,0.8182,0.0,85.5152,0.2121,0.0298,0.0298
16,40,98.6364,9.0303,0.0,89.6061,0.6667,0.096,0.096
16,45,113.1515,26.2727,0.0,86.8788,0.9394,0.2205,0.2205
16,50,129.1515,50.2424,0.0303,78.9091,0.9693,0.365,0.3648
16,55,140.697,74.0909,0.0303,66.6061,0.9694,0.5056,0.5054
16,60,149.6364,96.0,0.0,53.6364,1.0,0.6198,0.6198
