hilbert_order,q_node,threshold,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf1,5,0,2,0,2,0,0.0000,0.0000,0.0000
2,clab-nebula-serf1,10,6,2,2,0,4,1.0000,0.3333,0.3333
2,clab-nebula-serf1,15,12,2,2,0,10,1.0000,0.1667,0.1667
2,clab-nebula-serf1,20,19,72,19,53,0,0.2639,1.0000,0.2639
2,clab-nebula-serf1,25,37,83,34,49,3,0.4096,0.9189,0.3953
2,clab-nebula-serf1,30,74,152,73,79,1,0.4803,0.9865,0.4771
2,clab-nebula-serf1,35,91,156,89,67,2,0.5705,0.9780,0.5633
2,clab-nebula-serf1,40,107,161,107,54,0,0.6646,1.0000,0.6646
2,clab-nebula-serf1,45,117,161,117,44,0,0.7267,1.0000,0.7267
2,clab-nebula-serf1,50,121,161,121,40,0,0.7516,1.0000,0.7516
2,clab-nebula-serf1,55,133,161,133,28,0,0.8261,1.0000,0.8261
2,clab-nebula-serf1,60,153,161,153,8,0,0.9503,1.0000,0.9503
2,clab-nebula-serf5,5,0,2,0,2,0,0.0000,0.0000,0.0000
2,clab-nebula-serf5,10,3,2,2,0,1,1.0000,0.6667,0.6667
2,clab-nebula-serf5,15,7,2,2,0,5,1.0000,0.2857,0.2857
2,clab-nebula-serf5,20,14,72,14,58,0,0.1944,1.0000,0.1944
2,clab-nebula-serf5,25,19,83,19,64,0,0.2289,1.0000,0.2289
2,clab-nebula-serf5,30,46,140,42,98,4,0.3000,0.9130,0.2917
2,clab-nebula-serf5,35,80,156,79,77,1,0.5064,0.9875,0.5032
2,clab-nebula-serf5,40,92,161,92,69,0,0.5714,1.0000,0.5714
2,clab-nebula-serf5,45,108,161,108,53,0,0.6708,1.0000,0.6708
2,clab-nebula-serf5,50,118,161,118,43,0,0.7329,1.0000,0.7329
2,clab-nebula-serf5,55,121,161,121,40,0,0.7516,1.0000,0.7516
2,clab-nebula-serf5,60,143,161,143,18,0,0.8882,1.0000,0.8882
2,clab-nebula-serf10,5,1,7,1,6,0,0.1429,1.0000,0.1429
2,clab-nebula-serf10,10,9,7,5,2,4,0.7143,0.5556,0.4545
2,clab-nebula-serf10,15,20,7,7,0,13,1.0000,0.3500,0.3500
2,clab-nebula-serf10,20,40,7,7,0,33,1.0000,0.1750,0.1750
2,clab-nebula-serf10,25,71,12,12,0,59,1.0000,0.1690,0.1690
2,clab-nebula-serf10,30,88,82,57,25,31,0.6951,0.6477,0.5044
2,clab-nebula-serf10,35,103,134,89,45,14,0.6642,0.8641,0.6014
2,clab-nebula-serf10,40,120,156,117,39,3,0.7500,0.9750,0.7358
2,clab-nebula-serf10,45,121,159,121,38,0,0.7610,1.0000,0.7610
2,clab-nebula-serf10,50,129,161,129,32,0,0.8012,1.0000,0.8012
2,clab-nebula-serf10,55,153,161,153,8,0,0.9503,1.0000,0.9503
2,clab-nebula-serf10,60,156,161,156,5,0,0.9689,1.0000,0.9689
2,clab-nebula-serf15,5,1,29,1,28,0,0.0345,1.0000,0.0345
2,clab-nebula-serf15,10,14,29,8,21,6,0.2759,0.5714,0.2286
2,clab-nebula-serf15,15,32,29,18,11,14,0.6207,0.5625,0.4186
2,clab-nebula-serf15,20,68,29,24,5,44,0.8276,0.3529,0.3288
2,clab-nebula-serf15,25,88,32,31,1,57,0.9688,0.3523,0.3483
2,clab-nebula-serf15,30,100,82,61,21,39,0.7439,0.6100,0.5041
2,clab-nebula-serf15,35,117,140,103,37,14,0.7357,0.8803,0.6688
2,clab-nebula-serf15,40,121,156,118,38,3,0.7564,0.9752,0.7421
2,clab-nebula-serf15,45,124,159,124,35,0,0.7799,1.0000,0.7799
2,clab-nebula-serf15,50,151,161,151,10,0,0.9379,1.0000,0.9379
2,clab-nebula-serf15,55,154,161,154,7,0,0.9565,1.0000,0.9565
2,clab-nebula-serf15,60,158,161,158,3,0,0.9814,1.0000,0.9814
2,clab-nebula-serf20,5,2,18,2,16,0,0.1111,1.0000,0.1111
2,clab-nebula-serf20,10,4,18,4,14,0,0.2222,1.0000,0.2222
