=== Intra-network pings for net_1 ===
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf2 (10.0.1.11): 7.699ms (test duration: 87ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf3 (10.0.1.12): 4.900ms (test duration: 77ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf4 (10.0.1.13): 7.305ms (test duration: 74ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf5 (10.0.1.14): 6.235ms (test duration: 70ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf6 (10.0.1.15): 9.211ms (test duration: 74ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf7 (10.0.1.16): 9.336ms (test duration: 73ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf8 (10.0.1.17): 9.798ms (test duration: 74ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf9 (10.0.1.18): 8.991ms (test duration: 68ms)
2025/06/28 12:05:21 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf10 (10.0.1.19): 8.828ms (test duration: 67ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf11 (10.0.1.20): 8.539ms (test duration: 71ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf12 (10.0.1.21): 17.215ms (test duration: 70ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf13 (10.0.1.22): 13.981ms (test duration: 77ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_1] clab-nebula-serf14 (10.0.1.23): 15.794ms (test duration: 73ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf3 (10.0.1.12): 9.900ms (test duration: 72ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf4 (10.0.1.13): 14.738ms (test duration: 72ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf5 (10.0.1.14): 12.194ms (test duration: 70ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf6 (10.0.1.15): 16.299ms (test duration: 74ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf7 (10.0.1.16): 16.616ms (test duration: 80ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf8 (10.0.1.17): 18.716ms (test duration: 73ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf9 (10.0.1.18): 16.524ms (test duration: 77ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf10 (10.0.1.19): 16.784ms (test duration: 80ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf11 (10.0.1.20): 16.658ms (test duration: 68ms)
2025/06/28 12:05:22 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf12 (10.0.1.21): 24.441ms (test duration: 70ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf13 (10.0.1.22): 21.385ms (test duration: 78ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_1] clab-nebula-serf14 (10.0.1.23): 22.623ms (test duration: 78ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf4 (10.0.1.13): 11.320ms (test duration: 71ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf5 (10.0.1.14): 8.918ms (test duration: 66ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf6 (10.0.1.15): 12.668ms (test duration: 74ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf7 (10.0.1.16): 12.657ms (test duration: 72ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf8 (10.0.1.17): 14.482ms (test duration: 72ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf9 (10.0.1.18): 12.607ms (test duration: 69ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf10 (10.0.1.19): 13.073ms (test duration: 68ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf11 (10.0.1.20): 11.779ms (test duration: 63ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf12 (10.0.1.21): 20.879ms (test duration: 77ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf13 (10.0.1.22): 17.427ms (test duration: 64ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_1] clab-nebula-serf14 (10.0.1.23): 20.797ms (test duration: 66ms)
2025/06/28 12:05:23 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf5 (10.0.1.14): 10.466ms (test duration: 76ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf6 (10.0.1.15): 12.355ms (test duration: 76ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf7 (10.0.1.16): 12.359ms (test duration: 70ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf8 (10.0.1.17): 14.585ms (test duration: 67ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf9 (10.0.1.18): 12.217ms (test duration: 61ms)
2025/06/28 12:05:24 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_1] clab-nebula-serf10 (10.0.1.19): 12.934ms (test duration: 79ms)
